Unnamed: 0,State_Name,Crop_Type,Crop,N,P,K,pH,rainfall,temperature,Production_in_quintals,Area_in_acres,Yield_quintals_per_acre
4944,andhra pradesh,rabi,jowar,80,40,40,5.34,288.3,25.46,41000,7660.255,5.352302240591207
4945,andhra pradesh,rabi,maize,80,40,20,5.52,288.3,25.46,58000,2965.26,19.55983624
4946,andhra pradesh,rabi,moong,20,40,20,5.52,288.3,25.46,26000,7907.36,3.288075919143684
4947,andhra pradesh,rabi,ragi,50,40,20,5.44,288.3,25.46,95000,11119.725,8.543376747176751
4948,andhra pradesh,rabi,rice,80,40,40,5.6,288.3,25.46,2489000,182363.49,13.648565291221397
4949,andhra pradesh,rabi,sesamum,30,15,30,6.48,288.3,25.46,74000,54610.205,1.3550580885019567
4950,andhra pradesh,rabi,sunflower,50,60,30,5.4,288.3,25.46,5000,1976.84,2.5292891685720646
4951,andhra pradesh,kharif,cotton,120,40,20,5.48,654.34,29.26666666666667,56000,17544.454999999998,3.1918916831557325
4952,andhra pradesh,kharif,maize,80,40,20,5.36,654.34,29.26666666666667,2000,247.105,8.093725339430607
4953,andhra pradesh,kharif,moong,20,40,20,5.68,654.34,29.26666666666667,2000,988.42,2.023431334857652
4954,andhra pradesh,kharif,ragi,50,40,20,5.6,654.34,29.26666666666667,3000,741.3149999999999,4.046862669715304
4955,andhra pradesh,kharif,rice,80,40,40,5.54,654.34,29.26666666666667,1334000,110455.935,12.07721432080585
4956,andhra pradesh,kharif,sesamum,30,15,30,6.34,654.34,29.26666666666667,2000,2223.945,0.8993028154922895
4957,andhra pradesh,kharif,sunflower,50,60,30,5.66,654.34,29.26666666666667,30000,10131.305,2.961119026620953
4958,andhra pradesh,rabi,horsegram,20,60,20,6.1,288.3,25.46,3000,1976.84,1.5175735011432387
4959,andhra pradesh,rabi,jowar,80,40,40,5.58,288.3,25.46,1000,494.21,2.023431334857652
4960,andhra pradesh,rabi,maize,80,40,20,5.58,288.3,25.46,1000,247.105,4.046862669715304
4961,andhra pradesh,rabi,moong,20,40,20,5.54,288.3,25.46,17000,16308.93,1.042373717956972
4962,andhra pradesh,rabi,ragi,50,40,20,5.6,288.3,25.46,10000,1235.525,8.093725339430605
4963,andhra pradesh,rabi,rice,80,40,40,5.32,288.3,25.46,5423000,452943.465,11.97279664913589
4964,andhra pradesh,rabi,sesamum,30,15,30,6.58,288.3,25.46,3000,3212.365,0.933891385
4965,andhra pradesh,rabi,sunflower,50,60,30,5.56,288.3,25.46,2000,741.3149999999999,2.697908446476869
4966,andhra pradesh,kharif,cotton,120,40,20,5.48,654.34,29.26666666666667,16000,4942.1,3.2374901357722425
4967,andhra pradesh,kharif,jowar,80,40,40,5.66,654.34,29.26666666666667,1000,741.3149999999999,1.3489542232384346
4968,andhra pradesh,kharif,maize,80,40,20,5.68,654.34,29.26666666666667,5000,741.3149999999999,6.744771116192172
4969,andhra pradesh,kharif,ragi,50,40,20,5.62,654.34,29.26666666666667,46000,9884.2,4.653892070172598
4970,andhra pradesh,kharif,rice,80,40,40,5.34,654.34,29.26666666666667,3707000,480372.12,7.716934113
4971,andhra pradesh,kharif,sesamum,30,15,30,6.56,654.34,29.26666666666667,6000,11366.83,0.5278516525715613
4972,andhra pradesh,kharif,sunflower,50,60,30,5.32,654.34,29.26666666666667,1000,247.105,4.046862669715304
4973,andhra pradesh,rabi,horsegram,20,60,20,6.12,288.3,25.46,73000,47444.16,1.538650910881339
4974,andhra pradesh,rabi,jowar,80,40,40,5.64,288.3,25.46,1000,741.3149999999999,1.3489542232384346
4975,andhra pradesh,rabi,moong,20,40,20,5.32,288.3,25.46,91000,60046.515,1.5154917816629323
